,season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength,url,player_idx,rank,width,team_idx
292,2009/2010,Netherlands Eredivisie,Roda JC Kerkrade,26.1,31,20,181.7,190.5,170.2,167.6,179,150,70.59,29.41,0.0,Arnold Kruiswijk,69.0,72.0,66.0,72.0,72.0,69.0,https://upload.wikimedia.org/wikipedia/commons/e/e5/Arnold_Kruiswijk_Vitesse_28062015.png,10227,9.0,0,20217
293,2009/2010,Netherlands Eredivisie,SC Heerenveen,23.9,35,17,182.5,198.1,172.7,167.2,201,139,79.17,20.83,0.0,Roy Beerens,75.5,82.0,81.0,58.0,74.0,58.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/Roy_Beerens2014.jpg,10228,11.0,336,20231
294,2009/2010,Netherlands Eredivisie,Sparta Rotterdam,23.1,32,18,182.4,195.6,170.2,171.4,198,139,77.27,22.73,0.0,Kevin Strootman,69.5,80.5,65.0,61.0,69.5,60.0,https://upload.wikimedia.org/wikipedia/commons/f/fe/20160604_AUT_NED_8930_Kevin_Strootman.jpg,10229,16.0,304,20241
295,2009/2010,Netherlands Eredivisie,VVV-Venlo,23.8,33,19,182.1,193.0,172.7,167.7,194,148,60.0,40.0,0.0,Keisuke Honda,77.5,85.5,73.5,75.0,81.5,64.5,https://upload.wikimedia.org/wikipedia/commons/7/79/Keisuke_Honda_2018_%28cropped%29_%28cropped%29.jpg,10230,12.0,279,20281
296,2009/2010,Netherlands Eredivisie,Vitesse,23.6,30,17,182.3,190.5,167.6,166.7,187,152,71.43,28.57,0.0,Lasse Nilsson,70.5,74.5,81.0,63.0,73.0,67.0,https://upload.wikimedia.org/wikipedia/commons/6/63/Lasse-Nilsson.jpg,10097,14.0,560,20278
297,2009/2010,Netherlands Eredivisie,Willem II,23.2,31,19,182.0,193.0,165.1,170.6,201,143,81.82,18.18,0.0,Said Boutahar,70.0,73.0,70.0,48.0,62.5,57.5,https://upload.wikimedia.org/wikipedia/commons/c/c2/Said_Boutahar_2011_1.jpg,10231,17.0,246,20288
298,2009/2010,Poland Ekstraklasa,Arka Gdynia,23.2,30,18,182.4,190.5,175.3,169.2,185,150,60.0,40.0,0.0,"Bartosz Lawa,25",64.0,64.0,58.0,58.0,67.0,61.0,https://upload.wikimedia.org/wikipedia/en/9/9f/Jastrzebski_Logo.png,10098,14.0,341,20014
299,2009/2010,Poland Ekstraklasa,Cracovia,24.2,27,19,183.7,193.0,177.8,166.0,185,148,100.0,0.0,0.0,Pawel Sasin,64.0,68.0,71.0,42.0,88.0,57.0,https://upload.wikimedia.org/wikipedia/commons/a/a3/Pawel_Sasin_2011.jpg,10099,12.0,280,20053
300,2009/2010,Poland Ekstraklasa,GKS Bełchatów,22.8,28,20,178.6,182.9,170.2,161.7,170,150,16.67,83.33,0.0,Mateusz Cetnarski,66.0,73.0,64.0,32.0,67.0,39.0,https://upload.wikimedia.org/wikipedia/commons/0/0a/Mateusz_Cetnarski_2012.jpg,10232,5.0,301,20114
301,2009/2010,Poland Ekstraklasa,Jagiellonia Białystok,26.0,34,21,181.3,190.5,167.6,168.0,187,143,75.0,25.0,0.0,Neves Soares Hermes,63.0,66.0,67.0,62.0,73.0,51.0,https://upload.wikimedia.org/wikipedia/commons/e/ec/Hermes_01_ssj_20060725.jpg,10101,6.0,274,20132
302,2009/2010,Poland Ekstraklasa,Korona Kielce,25.5,31,21,180.6,190.5,170.2,164.6,194,143,50.0,50.0,0.0,Hernani,67.0,72.0,62.0,63.0,76.0,73.0,0,40043,9.0,557,20138
303,2009/2010,Poland Ekstraklasa,Lech Poznań,24.2,29,18,179.6,188.0,170.2,163.2,185,137,61.54,38.46,0.0,Manuel Arboleda,74.0,76.0,81.0,86.0,87.0,90.0,https://upload.wikimedia.org/wikipedia/commons/7/78/Manuel_Arboleda_2010.jpg,10102,1.0,304,20150
304,2009/2010,Poland Ekstraklasa,Lechia Gdańsk,26.2,32,21,179.5,185.4,170.2,167.3,187,143,83.33,16.67,0.0,Marcin Kaczmarek,65.0,67.0,84.0,59.0,77.0,43.0,0,40016,7.0,652,20151
305,2009/2010,Poland Ekstraklasa,Legia Warszawa,24.0,33,17,181.9,188.0,170.2,166.5,181,154,87.5,12.5,0.0,Maciej Iwanski,71.0,74.0,63.0,80.0,64.0,41.0,https://upload.wikimedia.org/wikipedia/commons/8/80/Maciej_Iwanski_2009.jpg,10103,4.0,349,20152
306,2009/2010,Poland Ekstraklasa,Odra Wodzisław,22.7,24,21,179.5,185.4,175.3,157.0,174,143,33.33,66.67,0.0,Filip Luksik,65.0,68.0,68.0,60.0,65.0,67.0,0,40044,15.0,336,20177
307,2009/2010,Poland Ekstraklasa,P. Warszawa,25.8,27,25,180.3,188.0,170.2,165.0,183,148,50.0,50.0,0.0,Andreu Mayoral,69.0,74.0,72.0,74.0,73.0,67.0,https://upload.wikimedia.org/wikipedia/commons/9/9a/Andreu_-_Luis_Henr%C3%ADquez.jpg,10233,13.0,674,20182
308,2009/2010,Poland Ekstraklasa,Piast Gliwice,24.8,27,21,178.8,188.0,170.2,160.4,165,154,80.0,20.0,0.0,Mariusz Zganiacz,64.0,65.0,62.0,44.0,73.0,48.0,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mariusz_Zganiacz_01_ssj_20060725.jpg,10234,16.0,236,20189
309,2009/2010,Poland Ekstraklasa,Polonia Bytom,23.8,26,21,180.3,188.0,170.2,169.0,179,159,25.0,75.0,0.0,Tomasz Nowak,60.0,60.0,68.0,80.0,91.0,57.0,0,40045,8.0,288,20192
310,2009/2010,Poland Ekstraklasa,Ruch Chorzów,23.8,27,19,184.8,193.0,170.2,177.0,201,150,50.0,50.0,0.0,Grzegorz Baran,65.0,67.0,57.0,64.0,90.0,74.0,https://upload.wikimedia.org/wikipedia/commons/c/c4/Grzegorz_Baran_cropped.jpg,10235,3.0,335,20222
311,2009/2010,Poland Ekstraklasa,Wisła Kraków,25.4,32,20,180.3,185.4,170.2,165.4,179,152,44.44,55.56,0.0,Pawel Brozek,73.0,79.0,69.0,58.0,70.0,62.0,https://upload.wikimedia.org/wikipedia/commons/6/62/Brozek3.jpg,10107,2.0,298,20289
312,2009/2010,Poland Ekstraklasa,Zagłębie Lubin,22.2,28,18,179.7,193.0,165.1,167.1,203,137,100.0,0.0,0.0,David Caiado,65.0,66.0,69.0,60.0,57.0,69.0,https://upload.wikimedia.org/wikipedia/commons/d/d2/David_Caiado.jpg,10236,11.0,470,20292
313,2009/2010,Poland Ekstraklasa,Śląsk Wrocław,23.5,27,21,182.0,188.0,175.3,169.8,185,154,100.0,0.0,0.0,Kamil Bilinski,67.0,69.0,65.0,71.0,72.0,68.0,https://upload.wikimedia.org/wikipedia/commons/8/82/Admira-Zalgiris_Bilinski_01.jpg,10237,10.0,633,20294
314,2009/2010,Portugal Liga ZON Sagres,Académica de Coimbra,24.9,34,20,178.5,188.0,165.1,163.2,185,143,83.33,16.67,0.0,Lica,74.0,81.0,84.0,68.0,76.0,70.0,0,40046,11.0,350,20008
315,2009/2010,Portugal Liga ZON Sagres,CD Nacional,23.8,31,19,179.8,190.5,167.6,167.0,190,137,80.0,20.0,0.0,Ruben Micael,75.0,85.0,73.5,68.0,75.5,74.5,https://upload.wikimedia.org/wikipedia/commons/d/d0/R%C3%BAben_Micael_6339.jpg,10238,7.0,276,20044
316,2009/2010,Portugal Liga ZON Sagres,CF Os Belenenses,24.1,30,18,180.2,190.5,170.2,166.8,196,137,78.95,21.05,0.0,Jose Ze Pedro,72.5,77.0,72.0,69.0,67.5,69.0,0,40022,15.0,358,20049
317,2009/2010,Portugal Liga ZON Sagres,CS Marítimo,25.8,35,19,178.6,188.0,170.2,163.1,187,137,78.26,21.74,0.0,Marcinho,75.0,75.0,79.0,67.0,71.0,73.5,0,40023,5.0,671,20055
318,2009/2010,Portugal Liga ZON Sagres,FC Paços de Ferreira,24.7,31,18,180.2,190.5,172.7,165.2,187,146,72.22,27.78,0.0,Cristiano,73.0,77.5,81.0,68.0,76.5,59.0,https://upload.wikimedia.org/wikipedia/commons/8/8c/Cristiano_Ronaldo_2018.jpg,10239,9.0,279,20088
319,2009/2010,Portugal Liga ZON Sagres,FC Porto,24.2,29,22,181.1,193.0,172.7,172.8,187,154,78.95,15.79,5.26,Hulk,83.0,88.0,87.0,67.0,82.5,85.5,https://upload.wikimedia.org/wikipedia/commons/4/43/Hulk-logo.svg,10240,3.0,630,20090
320,2009/2010,Portugal Liga ZON Sagres,Leixões SC,25.0,34,19,180.9,193.0,167.6,168.9,198,141,82.61,17.39,0.0,Braga,72.0,75.5,74.5,68.0,75.0,68.5,https://upload.wikimedia.org/wikipedia/commons/9/90/Braga_Banco_Portugal_%28cropped%29.jpg,10241,16.0,631,20154
321,2009/2010,Portugal Liga ZON Sagres,Naval 1° de Maio,24.4,28,19,180.9,193.0,165.1,165.4,187,137,52.94,23.53,23.53,Marinho,71.5,74.0,82.0,60.0,67.0,59.0,0,40047,8.0,420,20172
322,2009/2010,Portugal Liga ZON Sagres,Rio Ave FC,25.4,34,17,182.1,190.5,172.7,172.9,190,152,73.68,26.32,0.0,Bruno Vilela Gama,74.0,80.5,80.0,57.0,73.0,65.5,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bruno_Gama2015.jpg,10242,12.0,381,20215
323,2009/2010,Portugal Liga ZON Sagres,S.C. Olhanense,24.8,33,19,180.2,188.0,165.1,163.4,190,141,85.0,15.0,0.0,Ukra,70.5,79.5,79.5,70.0,72.5,64.0,0,40048,13.0,336,20223
324,2009/2010,Portugal Liga ZON Sagres,SC Braga,26.4,31,23,180.5,188.0,170.2,165.8,194,146,63.64,36.36,0.0,Alan,76.0,77.0,85.0,67.0,78.0,76.0,0,40049,2.0,208,20228
325,2009/2010,Portugal Liga ZON Sagres,SL Benfica,24.2,32,19,179.7,193.0,167.6,167.3,203,137,76.19,23.81,0.0,Pablo Aimar,82.0,88.0,81.5,64.0,74.0,60.5,https://upload.wikimedia.org/wikipedia/commons/8/80/Match_legends_2017_CC_%284%29.jpg,10115,1.0,311,20238
326,2009/2010,Portugal Liga ZON Sagres,Sporting CP,25.0,31,20,178.4,185.4,170.2,163.8,185,134,79.17,16.67,4.16,Liedson,81.5,82.5,81.5,77.0,78.0,62.5,https://upload.wikimedia.org/wikipedia/commons/c/c1/Li%C3%A9dson.jpg,10116,4.0,312,20243
327,2009/2010,Portugal Liga ZON Sagres,"União de Leiria, SAD",25.8,32,18,179.5,188.0,170.2,168.0,190,143,68.75,31.25,0.0,Manuel Silas,72.0,74.0,74.0,72.0,76.0,71.0,0,40050,10.0,279,20270
328,2009/2010,Portugal Liga ZON Sagres,Vitória Guimarães,26.9,32,23,179.9,190.5,167.6,166.5,194,132,76.47,23.53,0.0,Nuno Assis,77.0,77.0,75.0,63.0,75.0,61.5,https://upload.wikimedia.org/wikipedia/commons/0/0a/Dinamo-Omonia_%284%29.jpg,10243,6.0,323,20279
329,2009/2010,Portugal Liga ZON Sagres,Vitória Setúbal,23.8,33,18,183.2,193.0,172.7,168.8,190,143,76.19,23.81,0.0,Helder Barbosa,72.5,80.5,76.5,64.0,74.5,62.5,0,40025,14.0,336,20280
330,2009/2010,Scotland Premier League,Aberdeen,23.9,29,18,180.5,190.5,170.2,163.2,183,141,66.67,33.33,0.0,Charles Mulgrew,73.5,76.0,75.5,76.0,72.0,82.0,https://upload.wikimedia.org/wikipedia/commons/b/bd/Charlie_Mulgrew_2019.jpg,10244,9.0,267,20004
331,2009/2010,Scotland Premier League,Celtic,24.6,30,18,181.0,193.0,170.2,166.8,192,143,70.97,25.81,3.22,Robbie Keane,82.0,84.0,81.0,65.0,73.0,67.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/FIFA_WC-qualification_2014_-_Austria_vs_Ireland_2013-09-10_-_Robbie_Keane_01.jpg,10026,2.0,385,20047
332,2009/2010,Scotland Premier League,Dundee United,23.3,34,19,183.0,193.0,167.6,166.9,194,130,77.27,22.73,0.0,Lee Wilkie,73.0,79.0,42.0,80.0,76.0,88.0,0,40027,3.0,560,20061
333,2009/2010,Scotland Premier League,Falkirk,23.9,35,19,179.6,195.6,170.2,162.5,218,132,72.73,27.27,0.0,Scott Arfield,68.0,78.0,70.5,72.0,73.0,68.0,https://upload.wikimedia.org/wikipedia/commons/d/d8/SM-Rangers18_%2818%29.jpg,10245,12.0,308,20072
334,2009/2010,Scotland Premier League,Hamilton Academical FC,24.9,33,17,180.1,188.0,172.7,162.3,187,141,76.19,23.81,0.0,James McArthur,70.5,76.5,71.0,50.0,72.0,70.0,https://upload.wikimedia.org/wikipedia/commons/3/31/James_McArthur_-_1.jpg,10246,6.0,328,20121
335,2009/2010,Scotland Premier League,Heart of Midlothian,22.3,28,17,181.3,190.5,167.6,167.9,209,137,69.23,30.77,0.0,Andrew Driver,77.5,86.0,89.5,54.0,70.0,59.0,https://upload.wikimedia.org/wikipedia/commons/f/f6/Andrew_Driver%2C_Houston_Dynamo_Midfielder%2C_Mar_1%2C_2013.jpg,10247,7.0,324,20123
336,2009/2010,Scotland Premier League,Hibernian,24.1,28,17,180.3,190.5,170.2,159.6,190,137,63.16,26.32,10.52,Derek Riordan,76.0,65.0,77.5,51.0,65.5,56.5,https://upload.wikimedia.org/wikipedia/commons/e/ef/Derek_Riordan_30-04-2016_1.jpg,10248,4.0,280,20127
337,2009/2010,Scotland Premier League,Kilmarnock,25.4,33,18,179.9,190.5,170.2,165.4,194,132,76.19,23.81,0.0,Scott Severin,71.0,76.0,62.0,72.0,79.0,73.0,0,40051,11.0,303,20137
338,2009/2010,Scotland Premier League,Motherwell,22.2,32,17,180.2,188.0,172.7,164.2,196,141,52.63,36.84,10.53,Mark Reynolds,71.0,77.0,72.0,81.0,74.0,77.0,https://upload.wikimedia.org/wikipedia/commons/d/d0/Mark_Reynolds_on_July_25%2C_2016.jpg,10249,5.0,420,20167
339,2009/2010,Scotland Premier League,Rangers,25.6,39,17,181.9,193.0,170.2,170.1,196,150,66.67,33.33,0.0,Kris Boyd,80.0,83.0,67.5,85.0,71.0,82.5,https://upload.wikimedia.org/wikipedia/commons/8/88/Kris_Boyd.jpg,10127,1.0,281,20199
340,2009/2010,Scotland Premier League,St. Johnstone FC,25.9,33,17,181.2,193.0,165.1,166.8,190,141,80.95,19.05,0.0,Jonatan Johansson,67.0,72.0,74.0,57.0,73.0,63.0,https://upload.wikimedia.org/wikipedia/commons/3/30/Johansson_jonatan.jpg,10250,8.0,307,20246
341,2009/2010,Scotland Premier League,St. Mirren,27.1,33,20,180.2,188.0,167.6,161.8,185,130,76.47,17.65,5.88,John Potter,73.0,76.0,72.0,87.0,78.5,82.5,0,40052,10.0,403,20247
342,2009/2010,Spain LIGA BBVA,Athletic Club de Bilbao,24.4,32,16,182.8,195.6,167.6,166.3,198,139,76.19,23.81,0.0,Fernando Llorente,80.0,85.0,73.0,86.0,74.0,93.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/Sev_tren_2016_%288%29.jpg,10251,8.0,257,20021
343,2009/2010,Spain LIGA BBVA,Atlético Madrid,25.0,32,17,180.1,193.0,172.7,168.0,190,150,80.0,20.0,0.0,Diego Forlan,85.5,87.0,81.0,80.0,79.0,75.0,https://upload.wikimedia.org/wikipedia/commons/f/f3/U10_Diego_Forl%C3%A1n_7524.jpg,10252,9.0,280,20022
344,2009/2010,Spain LIGA BBVA,CA Osasuna,26.7,33,19,181.8,190.5,170.2,167.5,185,154,83.33,16.67,0.0,Javad Nekounam,77.5,83.0,73.5,77.0,86.5,80.5,https://upload.wikimedia.org/wikipedia/commons/d/db/Iran_captain_Javad_Nekounam_in_press_conference_before_Nigeria_match%2C_2014_FIFA_World_Cup_%28cropped%29.jpg,10253,12.0,329,20039
345,2009/2010,Spain LIGA BBVA,CD Tenerife,25.6,32,21,178.7,188.0,170.2,164.9,183,143,76.47,17.65,5.88,Nino,76.5,80.5,82.5,68.0,84.0,63.0,0,40053,19.0,631,20046
346,2009/2010,Spain LIGA BBVA,FC Barcelona,25.3,31,18,179.0,195.6,167.6,165.5,209,137,63.16,36.84,0.0,Lionel Messi,90.0,94.5,93.0,64.0,78.0,59.0,https://upload.wikimedia.org/wikipedia/commons/d/d9/Lionel_Messi_20180626_%28cropped%29.jpg,10133,1.0,279,20076
347,2009/2010,Spain LIGA BBVA,Getafe CF,25.8,33,20,181.1,185.4,175.3,167.1,187,150,76.47,23.53,0.0,Cata Diaz,80.0,86.0,68.0,76.0,80.0,87.0,https://upload.wikimedia.org/wikipedia/commons/b/b2/Cata_diaz_boca.jpg,10134,6.0,298,20110
348,2009/2010,Spain LIGA BBVA,Málaga CF,25.5,31,19,180.1,190.5,170.2,169.5,185,148,73.68,26.32,0.0,Duda,79.0,80.0,79.0,59.0,77.0,67.0,https://upload.wikimedia.org/wikipedia/en/e/ed/DudaDrawing.gif,10135,17.0,286,20168
349,2009/2010,Spain LIGA BBVA,RC Deportivo de La Coruña,25.7,34,19,180.0,188.0,165.1,168.3,196,143,79.17,20.83,0.0,Filipe Luis,81.5,87.0,87.0,76.0,85.0,80.0,https://upload.wikimedia.org/wikipedia/commons/e/e8/Filipe_Lu%C3%ADs_2018_%28cropped%29.jpg,10254,10.0,311,20202
350,2009/2010,Spain LIGA BBVA,RCD Espanyol,23.7,31,17,180.1,185.4,175.3,166.1,187,148,78.95,21.05,0.0,Shunsuke Nakamura,79.0,84.0,78.5,76.0,79.0,55.0,https://upload.wikimedia.org/wikipedia/commons/e/e4/Shunsuke2_20080622.png,10255,11.0,284,20205
351,2009/2010,Spain LIGA BBVA,RCD Mallorca,26.7,34,20,180.5,188.0,170.2,167.4,181,150,76.47,23.53,0.0,Aritz Aduriz,78.0,81.0,80.0,89.0,80.0,71.0,https://upload.wikimedia.org/wikipedia/commons/9/97/SM-AB_2018_%287%29_%28Aduriz%29.jpg,10256,5.0,418,20206
352,2009/2010,Spain LIGA BBVA,Racing Santander,25.3,34,18,180.5,193.0,167.6,164.2,192,143,66.67,33.33,0.0,Pedro Munitis,79.5,86.0,83.0,66.0,71.0,68.0,https://upload.wikimedia.org/wikipedia/commons/f/ff/Pedro_Munitis_2013.jpg,10257,16.0,420,20197
353,2009/2010,Spain LIGA BBVA,Real Madrid CF,24.5,32,21,182.6,193.0,167.6,173.7,203,154,76.47,23.53,0.0,Cristiano Ronaldo,89.0,93.5,93.0,91.0,82.0,79.0,https://upload.wikimedia.org/wikipedia/commons/8/8c/Cristiano_Ronaldo_2018.jpg,10020,2.0,279,20209
354,2009/2010,Spain LIGA BBVA,Real Sporting de Gijón,25.9,33,19,180.1,188.0,167.6,165.9,187,146,80.95,19.05,0.0,David Barral,76.0,79.0,82.0,72.0,73.0,66.0,0,40054,15.0,279,20211
355,2009/2010,Spain LIGA BBVA,Real Valladolid,25.0,35,17,180.1,188.0,167.6,163.5,187,141,62.5,33.33,4.17,Alvaro Rubio,76.0,79.0,69.0,60.0,73.0,71.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/Real_Valladolid_-_FC_Barcelona%2C_2018-08-25_%2820%29_%28cropped%29.jpg,10258,18.0,267,20212
356,2009/2010,Spain LIGA BBVA,Real Zaragoza,26.6,36,19,181.8,195.6,172.7,166.1,196,148,80.0,20.0,0.0,Angel Lafita,77.5,81.0,79.0,58.0,74.5,64.0,https://upload.wikimedia.org/wikipedia/commons/d/dd/%C3%81ngel_Lafita_2009.jpg,10259,14.0,257,20213
357,2009/2010,Spain LIGA BBVA,Sevilla FC,25.4,33,19,181.6,193.0,170.2,166.3,194,132,65.22,34.78,0.0,Luis Fabiano,85.0,86.0,85.0,80.0,72.0,77.0,https://upload.wikimedia.org/wikipedia/commons/3/37/JSP_0799.JPG,10143,4.0,597,20235
358,2009/2010,Spain LIGA BBVA,UD Almería,25.3,31,20,178.7,188.0,162.6,163.5,190,139,76.47,23.53,0.0,Kalu Uche,77.0,80.0,77.0,94.0,76.0,82.0,0,40055,13.0,314,20266
359,2009/2010,Spain LIGA BBVA,Valencia CF,25.9,33,20,180.0,203.2,170.2,166.6,212,139,77.27,22.73,0.0,David Villa,87.5,91.5,86.0,71.0,85.0,74.0,https://upload.wikimedia.org/wikipedia/commons/a/a4/Spain-Tahiti%2C_Confederations_Cup_2013_%2802%29_%28Villa_crop%29.jpg,10145,3.0,292,20272
360,2009/2010,Spain LIGA BBVA,Villarreal CF,26.2,35,18,179.7,188.0,165.1,163.4,185,143,71.43,28.57,0.0,Giuseppe Rossi,83.0,86.0,86.0,60.0,74.0,59.0,https://upload.wikimedia.org/wikipedia/commons/d/da/Giuseppe_Rossi_-_RC_Celta_de_Vigo.jpg,10260,7.0,306,20277
361,2009/2010,Spain LIGA BBVA,Xerez Club Deportivo,25.6,34,21,178.5,193.0,165.1,163.9,192,150,77.78,22.22,0.0,Momo,74.0,78.0,78.5,61.0,70.0,58.0,0,40056,20.0,300,20291
362,2009/2010,Switzerland Super League,AC Bellinzona,26.3,35,20,179.6,190.5,170.2,163.0,194,146,66.67,16.67,16.66,Aimo Stefano Diana,66.5,77.5,69.5,66.0,72.5,69.0,https://upload.wikimedia.org/wikipedia/commons/b/b7/Aimo_Stefano_Diana.JPG,10261,9.0,361,20007
363,2009/2010,Switzerland Super League,BSC Young Boys,23.7,33,18,180.5,190.5,170.2,166.4,198,139,63.64,36.36,0.0,Seydou Doumbia,76.5,82.0,87.0,61.0,79.0,60.0,https://upload.wikimedia.org/wikipedia/commons/b/be/Zen-Baz16_%285%29.jpg,10262,2.0,207,20037
364,2009/2010,Switzerland Super League,FC Aarau,23.5,29,17,181.2,190.5,172.7,164.7,187,150,61.9,28.57,9.53,Sergio Bastida,64.5,66.5,68.5,73.0,55.5,69.5,0,40057,10.0,757,20073
365,2009/2010,Switzerland Super League,FC Basel,24.7,33,17,182.3,195.6,170.2,172.2,198,148,66.67,33.33,0.0,Alexander Frei,77.0,82.0,70.0,72.0,66.0,71.0,https://upload.wikimedia.org/wikipedia/commons/b/b7/Alex_Frei.jpg,10050,1.0,309,20077
366,2009/2010,Switzerland Super League,FC Luzern,24.7,32,18,179.3,188.0,172.7,166.1,190,139,84.21,15.79,0.0,Hakan Yakin,72.5,78.5,67.5,65.0,60.5,69.5,https://upload.wikimedia.org/wikipedia/commons/8/80/Hakan_Yakin_-_Gare_de_Berne_le_16-11-2006.jpg,10263,4.0,560,20085
367,2009/2010,Switzerland Super League,FC Sion,25.2,33,18,182.4,193.0,170.2,165.6,192,143,70.83,29.17,0.0,Antonio Carlos Dos Santos,70.5,79.5,65.5,88.0,67.5,69.5,0,40058,5.0,285,20092
368,2009/2010,Switzerland Super League,FC St. Gallen,24.7,35,18,179.8,195.6,172.7,168.7,194,146,78.95,21.05,0.0,Mario Frick,70.0,74.0,71.5,69.0,63.5,79.5,https://upload.wikimedia.org/wikipedia/commons/6/6c/AUT_vs._LIE_2015-10-12_%28194%29.jpg,10264,6.0,420,20094
369,2009/2010,Switzerland Super League,FC Zürich,23.8,32,16,182.8,193.0,175.3,170.4,201,154,75.0,25.0,0.0,Hannu Tihinen,75.0,80.0,59.5,67.0,81.0,80.5,https://upload.wikimedia.org/wikipedia/commons/8/87/Hannu_Tihinen.jpg,10151,7.0,411,20101
370,2009/2010,Switzerland Super League,Grasshopper Club Zürich,23.4,34,17,181.1,190.5,167.6,169.0,198,137,69.57,30.43,0.0,Boris Smiljanic,70.5,74.5,59.5,74.0,60.5,66.5,https://upload.wikimedia.org/wikipedia/commons/1/19/Boris_Smiljani%C4%87_of_GC_Z%C3%BCrich_at_a_GC_Z%C3%BCrich-St_Gallen_match_-_20070718.jpg,10152,3.0,280,20117
371,2009/2010,Switzerland Super League,Neuchâtel Xamax,23.3,31,17,180.5,188.0,175.3,166.4,187,150,63.64,36.36,0.0,Carlos Varela,69.0,73.0,82.0,77.0,75.0,77.0,https://upload.wikimedia.org/wikipedia/commons/d/da/Juan_Carlos_Varela_%282014%29.jpg,10265,8.0,315,20173
372,2010/2011,Belgium Jupiler League,Beerschot AC,25.2,37,16,181.7,190.5,172.7,172.4,201,154,69.57,26.09,4.34,Faris Haroun,69.5,72.0,71.0,65.0,81.5,67.0,https://upload.wikimedia.org/wikipedia/commons/7/72/Faris_haroun-1583660253.jpg,10266,13.0,630,20026
373,2010/2011,Belgium Jupiler League,Club Brugge KV,25.2,33,18,182.7,193.0,172.7,173.6,201,146,77.78,22.22,0.0,Ronald Vargas,72.5,78.0,77.0,68.0,58.0,58.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/Ronaldvargas2.jpg,10267,4.0,255,20052
374,2010/2011,Belgium Jupiler League,KAA Gent,25.1,32,19,183.9,193.0,175.3,172.5,196,132,62.5,25.0,12.5,Marko Suler,72.0,73.0,72.0,67.0,72.0,73.0,https://upload.wikimedia.org/wikipedia/commons/6/67/Marko_%C5%A0uler_2009.jpg,10268,3.0,630,20134
375,2010/2011,Belgium Jupiler League,KAS Eupen,24.2,35,18,180.9,188.0,170.2,167.7,192,137,72.73,27.27,0.0,Marcus Diniz,67.5,75.0,70.0,74.0,68.5,79.0,0,40059,15.0,336,20136
376,2010/2011,Belgium Jupiler League,KRC Genk,23.4,29,19,182.7,188.0,175.3,169.6,192,150,75.0,25.0,0.0,Joao Carlos,72.5,77.0,69.0,69.0,68.0,79.5,https://upload.wikimedia.org/wikipedia/commons/c/c3/Joao_Carlos_Teixeira_2013.jpg,10269,2.0,221,20139
377,2010/2011,Belgium Jupiler League,KSV Cercle Brugge,25.5,33,18,183.0,193.0,167.6,168.8,192,143,70.0,30.0,0.0,Oleg Iachtchouk,70.0,76.0,65.0,60.0,66.0,53.0,0,40036,9.0,420,20140
378,2010/2011,Belgium Jupiler League,KV Kortrijk,25.2,32,20,183.3,193.0,175.3,171.6,194,150,63.16,31.58,5.26,Sven Kums,67.5,72.0,67.0,61.0,74.5,55.0,https://upload.wikimedia.org/wikipedia/commons/8/88/Zen-Gent15_%282%29.jpg,10155,10.0,192,20142
379,2010/2011,Belgium Jupiler League,KV Mechelen,24.2,30,19,182.8,193.0,172.7,169.6,196,146,65.0,35.0,0.0,Aloys Nong,67.5,72.0,80.0,80.0,74.0,68.0,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aloys_Nong.jpg,10270,7.0,279,20143
380,2010/2011,Belgium Jupiler League,KVC Westerlo,24.0,34,19,180.3,193.0,167.6,163.0,185,139,68.18,31.82,0.0,Oleksandr Iakovenko,69.0,72.0,75.5,65.0,69.0,54.0,0,40060,8.0,279,20145
381,2010/2011,Belgium Jupiler League,Lierse SK,27.6,36,20,181.4,198.1,170.2,171.4,214,143,77.78,22.22,0.0,Milos Maric,72.0,73.5,73.0,67.5,83.0,77.5,0,40035,14.0,336,20156
382,2010/2011,Belgium Jupiler League,RSC Anderlecht,23.1,30,17,184.4,193.0,167.6,172.4,207,134,75.0,25.0,0.0,Mbark Boussoufa,79.0,82.0,75.0,65.0,76.0,37.0,https://upload.wikimedia.org/wikipedia/commons/8/89/Mbark_Boussoufa.jpg,10158,1.0,538,20221
383,2010/2011,Belgium Jupiler League,SV Zulte-Waregem,24.6,32,19,180.6,193.0,167.6,167.0,190,148,85.0,15.0,0.0,Kevin Roelandts,69.0,71.0,61.0,60.0,58.0,73.0,0,40005,11.0,280,20256
384,2010/2011,Belgium Jupiler League,Sint-Truidense VV,24.6,33,18,179.7,190.5,167.6,161.7,194,132,78.95,21.05,0.0,Mannaseh Ishiaku,68.5,73.5,75.5,77.5,66.0,81.5,0,40061,12.0,336,20237
