season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2009/2010,England Premier League,Manchester United,27,4,7,86,28,85,58,2,-2.291388888,53.46305556,
2009/2010,England Premier League,Portsmouth,7,7,24,34,66,28,-32,20,-1.063888888,50.79638889,
2009/2010,England Premier League,Stoke City,11,14,13,34,48,47,-14,11,-2.175555555,52.98833333,
2009/2010,England Premier League,Sunderland,11,11,16,48,56,44,-8,13,-1.3882,54.9144,
2009/2010,England Premier League,Tottenham Hotspur,21,7,10,67,41,70,26,4,-0.066388888,51.60444444,
2009/2010,England Premier League,West Ham United,8,11,19,47,66,35,-19,17,-0.016388888,51.53861111,
2009/2010,England Premier League,Wigan Athletic,9,9,20,37,79,36,-42,16,-2.653889,53.547778,
2009/2010,England Premier League,Wolverhampton Wanderers,9,11,18,32,56,38,-24,15,-2.130277777,52.59027778,
2009/2010,France Ligue 1,AJ Auxerre,20,11,7,42,29,71,13,3,3.588664,47.786753,
2009/2010,France Ligue 1,AS Monaco,15,10,13,39,45,55,-6,8,7.415556,43.727778,
2009/2010,France Ligue 1,AS Nancy-Lorraine,13,9,16,46,53,48,-7,12,6.210687,48.6955,
2009/2010,France Ligue 1,AS Saint-Étienne,10,10,18,27,45,40,-18,17,4.39,45.460833,
2009/2010,France Ligue 1,FC Lorient,16,10,12,54,42,58,12,7,-3.369733,47.748256,
2009/2010,France Ligue 1,FC Sochaux-Montbéliard,11,8,19,28,52,41,-24,16,6.811094,47.512403,
2009/2010,France Ligue 1,Girondins de Bordeaux,19,7,12,58,40,64,18,6,-0.563333,44.896944,
2009/2010,France Ligue 1,Grenoble Foot 38,5,8,25,31,61,23,-30,20,5.740099,45.187428,
2009/2010,France Ligue 1,LOSC Lille,21,7,10,72,40,70,32,4,3.067614316,50.63678193,
2009/2010,France Ligue 1,Le Mans FC,8,8,22,36,59,32,-23,18,0.232562988,47.93773248,
2009/2010,France Ligue 1,Montpellier Hérault SC,20,9,9,50,40,69,10,5,3.930685964,43.61275576,
2009/2010,France Ligue 1,OGC Nice,11,11,16,41,57,44,-16,15,7.192583333,43.70513889,
2009/2010,France Ligue 1,Olympique Lyonnais,20,12,6,64,38,72,26,2,4.982131,45.765224,
2009/2010,France Ligue 1,Olympique de Marseille,23,9,6,69,36,78,33,1,5.395833333,43.26972222,
2009/2010,France Ligue 1,Paris Saint-Germain,12,11,15,50,46,47,4,13,2.253055555,48.84138889,
2009/2010,France Ligue 1,RC Lens,12,12,14,40,44,48,-4,11,2.814722,50.432778,
2009/2010,France Ligue 1,Stade Rennais FC,14,11,13,52,41,53,11,9,-1.712861111,48.10747222,
2009/2010,France Ligue 1,Toulouse FC,12,11,15,36,36,47,0,14,1.434055,43.583296,
2009/2010,France Ligue 1,US Boulogne Cote D'Opale,7,10,21,31,62,31,-31,19,1.619411,50.723742,
2009/2010,France Ligue 1,Valenciennes FC,14,10,14,50,50,52,0,10,3.529336,50.348486,
2009/2010,Germany 1. Bundesliga,1. FC Köln,9,11,14,33,42,38,-9,13,6.875,50.933611,
2009/2010,Germany 1. Bundesliga,1. FC Nürnberg,8,7,19,32,58,31,-26,16,11.125278,49.426389,
2009/2010,Germany 1. Bundesliga,1. FSV Mainz 05,12,11,11,36,42,47,-6,9,8.322268157,49.96242212,
2009/2010,Germany 1. Bundesliga,Bayer 04 Leverkusen,15,14,5,65,38,59,27,4,7.002205555,51.03825556,
2009/2010,Germany 1. Bundesliga,Borussia Dortmund,16,9,9,54,42,57,12,5,7.451667,51.4925,
2009/2010,Germany 1. Bundesliga,Borussia Mönchengladbach,10,9,15,43,60,39,-17,12,6.385463888,51.17458333,
2009/2010,Germany 1. Bundesliga,Eintracht Frankfurt,12,10,12,47,54,46,-7,10,8.645278,50.068611,
2009/2010,Germany 1. Bundesliga,FC Bayern Munich,20,10,4,72,31,70,41,1,11.574444,48.110833,
2009/2010,Germany 1. Bundesliga,FC Schalke 04,19,8,7,53,31,65,22,2,7.067588888,51.55450278,
2009/2010,Germany 1. Bundesliga,Hamburger SV,13,13,8,56,41,52,15,7,9.898611,53.586944,
2009/2010,Germany 1. Bundesliga,Hannover 96,9,6,19,43,67,33,-24,15,9.731111,52.36,
2009/2010,Germany 1. Bundesliga,Hertha BSC Berlin,5,9,20,34,56,24,-22,18,13.23944444,52.51472222,
2009/2010,Germany 1. Bundesliga,SC Freiburg,9,8,17,35,59,35,-24,14,7.893056,47.988889,
2009/2010,Germany 1. Bundesliga,SV Werder Bremen,17,10,7,71,40,61,31,3,8.8375,53.066389,
2009/2010,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,9,14,44,42,42,2,11,8.84212,49.2783,
2009/2010,Germany 1. Bundesliga,VfB Stuttgart,15,10,9,51,41,55,10,6,9.231944,48.792222,
2009/2010,Germany 1. Bundesliga,VfL Bochum,6,10,18,33,64,28,-31,17,7.236489,51.489944,
2009/2010,Germany 1. Bundesliga,VfL Wolfsburg,14,8,12,64,58,50,6,8,10.807511,52.434577,
2009/2010,Italy Serie A,Atalanta,9,8,21,37,53,35,-16,18,9.680833,45.708889,
2009/2010,Italy Serie A,Bari,13,11,14,49,49,50,0,10,16.840072,41.084736,
2009/2010,Italy Serie A,Bologna,10,12,16,42,55,42,-13,17,11.309719,44.49362,
2009/2010,Italy Serie A,Cagliari,11,11,16,56,58,44,-2,14,9.137583333,39.19988889,
2009/2010,Italy Serie A,Catania,10,15,13,44,45,45,-1,13,15.071389,37.515833,
2009/2010,Italy Serie A,Chievo Verona,12,8,18,37,42,44,-5,15,10.968647,45.435356,
2009/2010,Italy Serie A,Fiorentina,13,8,17,48,47,47,1,11,11.282258,43.780822,
2009/2010,Italy Serie A,Genoa,14,9,15,57,61,51,-4,9,8.952428,44.416431,
2009/2010,Italy Serie A,Inter,24,10,4,75,34,82,41,1,9.124,45.47808,
2009/2010,Italy Serie A,Juventus,16,7,15,55,56,55,-1,7,-88.57027778,18.08305556,
2009/2010,Italy Serie A,Lazio,11,13,14,39,43,46,-4,12,12.454714,41.933872,
2009/2010,Italy Serie A,Livorno,7,8,23,27,61,29,-34,20,10.314167,43.526667,
2009/2010,Italy Serie A,Milan,20,10,8,60,39,70,21,3,14.30720933,41.08379544,
2009/2010,Italy Serie A,Napoli,15,14,9,50,43,59,7,6,14.26338465,40.88798394,
2009/2010,Italy Serie A,Palermo,18,11,9,59,47,65,12,5,13.342275,38.152767,
2009/2010,Italy Serie A,Parma,14,10,14,46,51,52,-5,8,10.33844444,44.79491667,
2009/2010,Italy Serie A,Roma,24,8,6,68,41,80,27,2,12.454714,41.933872,
2009/2010,Italy Serie A,Sampdoria,19,10,9,49,41,67,8,4,8.952428,44.416431,
2009/2010,Italy Serie A,Siena,7,10,21,40,67,31,-27,19,11.326111,43.321667,
2009/2010,Italy Serie A,Udinese,11,11,16,54,59,44,-5,16,13.200136,46.081603,
2009/2010,Netherlands Eredivisie,ADO Den Haag,7,9,18,38,59,30,-21,15,4.383056,52.062778,
2009/2010,Netherlands Eredivisie,AZ,19,5,10,64,34,62,30,5,4.741630263,52.61271589,
2009/2010,Netherlands Eredivisie,Ajax,27,4,3,106,20,85,86,2,4.940442856,52.31420074,
2009/2010,Netherlands Eredivisie,FC Groningen,14,7,13,48,47,49,1,8,6.591388888,53.20611111,
2009/2010,Netherlands Eredivisie,FC Twente,27,5,2,63,23,86,40,1,6.8375,52.23666667,
2009/2010,Netherlands Eredivisie,FC Utrecht,14,11,9,39,33,53,6,7,5.145833333,52.07833333,
2009/2010,Netherlands Eredivisie,Feyenoord,17,12,5,54,31,63,23,4,4.523252777,51.89389444,
2009/2010,Netherlands Eredivisie,Heracles Almelo,17,5,12,54,49,56,5,6,6.649722,52.338611,
2009/2010,Netherlands Eredivisie,N.E.C.,8,9,17,35,59,33,-24,13,5.836667,51.8225,
2009/2010,Netherlands Eredivisie,NAC Breda,12,10,12,42,49,46,-7,10,4.75028,51.5956,
2009/2010,Netherlands Eredivisie,PSV,23,9,2,72,29,78,43,3,5.4674,51.4417,
2009/2010,Netherlands Eredivisie,RKC Waalwijk,5,0,29,30,80,15,-50,18,5.088611,51.686944,
2009/2010,Netherlands Eredivisie,Roda JC Kerkrade,14,5,15,56,60,47,-4,9,6.005833333,50.85694444,
2009/2010,Netherlands Eredivisie,SC Heerenveen,11,4,19,44,64,37,-20,11,5.936111,52.958611,
2009/2010,Netherlands Eredivisie,Sparta Rotterdam,6,8,20,30,66,26,-36,16,4.433333,51.919444,
2009/2010,Netherlands Eredivisie,VVV-Venlo,8,11,15,43,57,35,-14,12,6.179722,51.351944,
2009/2010,Netherlands Eredivisie,Vitesse,8,8,18,38,62,32,-24,14,5.893056,51.9625,
2009/2010,Netherlands Eredivisie,Willem II,7,2,25,36,70,23,-34,17,5.066944,51.542778,
2009/2010,Poland Ekstraklasa,Arka Gdynia,7,7,16,28,39,28,-11,14,18.531214,54.493136,
2009/2010,Poland Ekstraklasa,Cracovia,9,7,14,25,39,34,-14,12,19.919722,50.058056,
2009/2010,Poland Ekstraklasa,GKS Bełchatów,13,9,8,37,27,48,10,5,19.381692,51.365839,
2009/2010,Poland Ekstraklasa,Jagiellonia Białystok,11,11,8,29,27,44,2,6,23.148889,53.105556,
2009/2010,Poland Ekstraklasa,Korona Kielce,9,10,11,35,41,37,-6,9,20.624722,50.861389,
2009/2010,Poland Ekstraklasa,Lech Poznań,19,8,3,51,20,65,31,1,16.858056,52.397222,
2009/2010,Poland Ekstraklasa,Lechia Gdańsk,9,10,11,30,32,37,-2,7,18.640278,54.39,
2009/2010,Poland Ekstraklasa,Legia Warszawa,15,7,8,36,22,52,14,4,21.04099453,52.22149029,
2009/2010,Poland Ekstraklasa,Odra Wodzisław,7,6,17,27,45,27,-18,15,18.45694444,49.99833333,
2009/2010,Poland Ekstraklasa,P. Warszawa,9,6,15,25,38,33,-13,13,21.07967436,52.23167219,
2009/2010,Poland Ekstraklasa,Piast Gliwice,7,6,17,30,50,27,-20,16,18.695866,50.306583,
2009/2010,Poland Ekstraklasa,Polonia Bytom,9,10,11,29,31,37,-2,8,18.89871667,50.35755833,
2009/2010,Poland Ekstraklasa,Ruch Chorzów,16,5,9,40,30,53,10,3,18.944178,50.282203,
2009/2010,Poland Ekstraklasa,Wisła Kraków,19,5,6,48,20,62,28,2,19.911944,50.063611,
2009/2010,Poland Ekstraklasa,Zagłębie Lubin,8,11,11,30,38,35,-8,11,16.1975,51.413333,
2009/2010,Poland Ekstraklasa,Śląsk Wrocław,8,12,10,32,33,36,-1,10,16.944094,51.141797,
2009/2010,Portugal Liga ZON Sagres,Académica de Coimbra,8,9,13,37,42,33,-5,11,-8.407777777,40.20333333,
2009/2010,Portugal Liga ZON Sagres,CD Nacional,10,9,11,36,46,39,-10,7,-16.883525,32.670625,
2009/2010,Portugal Liga ZON Sagres,CF Os Belenenses,4,11,15,23,44,23,-21,15,-9.207778,38.702778,
2009/2010,Portugal Liga ZON Sagres,CS Marítimo,11,8,11,42,43,41,-1,5,-16.928331,32.645561,
2009/2010,Portugal Liga ZON Sagres,FC Paços de Ferreira,8,11,11,32,37,35,-5,9,-8.385581,41.271353,
2009/2010,Portugal Liga ZON Sagres,FC Porto,21,5,4,70,26,68,44,3,-8.544874,41.066863,
2009/2010,Portugal Liga ZON Sagres,Leixões SC,5,6,19,25,51,21,-26,16,-8.66694444,41.18388889,
2009/2010,Portugal Liga ZON Sagres,Naval 1° de Maio,10,6,14,20,35,36,-15,8,-8.859281665,40.16283021,
2009/2010,Portugal Liga ZON Sagres,Rio Ave FC,6,13,11,22,33,31,-11,12,-8.740186,41.362756,
2009/2010,Portugal Liga ZON Sagres,S.C. Olhanense,5,14,11,31,46,29,-15,13,-7.848483,37.029128,
2009/2010,Portugal Liga ZON Sagres,SC Braga,22,5,3,48,20,71,28,2,-8.4308,41.5624,
2009/2010,Portugal Liga ZON Sagres,SL Benfica,24,4,2,78,20,76,58,1,-9.184680555,38.75267778,
2009/2010,Portugal Liga ZON Sagres,Sporting CP,13,9,8,42,26,48,16,4,-9.160783333,38.76119444,
2009/2010,Portugal Liga ZON Sagres,"União de Leiria, SAD",9,8,13,35,41,35,-6,10,-8.811727979,39.74910021,
2009/2010,Portugal Liga ZON Sagres,Vitória Guimarães,11,8,11,31,34,41,-3,6,-8.300066156,41.44587634,
2009/2010,Portugal Liga ZON Sagres,Vitória Setúbal,5,10,15,29,57,25,-28,14,-8.88978488,38.53144068,
2009/2010,Scotland Premier League,Aberdeen,10,11,17,36,52,41,-16,9,-2.088888888,57.15916667,
2009/2010,Scotland Premier League,Celtic,25,6,7,75,39,81,36,2,-23.512222,14.916111,
2009/2010,Scotland Premier League,Dundee United,17,12,9,55,47,63,8,3,-2.968961,56.474703,
2009/2010,Scotland Premier League,Falkirk,6,13,19,31,57,31,-26,12,-3.754269,56.005136,
2009/2010,Scotland Premier League,Hamilton Academical FC,13,10,15,39,46,49,-7,6,-4.0585,55.7822,
2009/2010,Scotland Premier League,Heart of Midlothian,13,9,16,35,46,48,-11,7,-3.232222,55.939167,
2009/2010,Scotland Premier League,Hibernian,15,9,14,58,55,54,3,4,-3.165555555,55.96166667,
2009/2010,Scotland Premier League,Kilmarnock,8,9,21,29,51,33,-22,11,-4.508122,55.604225,
2009/2010,Scotland Premier League,Motherwell,13,14,11,52,54,53,-2,5,-3.980078,55.779947,
2009/2010,Scotland Premier League,Rangers,26,9,3,82,28,87,54,1,28.0516,-26.2346,
2009/2010,Scotland Premier League,St. Johnstone FC,12,11,15,57,61,47,-4,8,-3.476928,56.409686,
2009/2010,Scotland Premier League,St. Mirren,7,13,18,36,49,34,-13,10,-4.443889,55.850556,
2009/2010,Spain LIGA BBVA,Athletic Club de Bilbao,15,9,14,50,53,54,-3,8,-2.949369,43.264205,
2009/2010,Spain LIGA BBVA,Atlético Madrid,13,8,17,57,61,47,-4,9,-3.599444,40.436111,
2009/2010,Spain LIGA BBVA,CA Osasuna,11,10,17,37,46,43,-9,12,-9.192602072,38.76679118,
2009/2010,Spain LIGA BBVA,CD Tenerife,9,9,20,40,74,36,-34,19,-16.26055556,28.46305556,
2009/2010,Spain LIGA BBVA,FC Barcelona,31,6,1,98,24,99,74,1,2.12005,41.380081,
2009/2010,Spain LIGA BBVA,Getafe CF,17,7,14,58,48,58,10,6,-3.714722,40.325556,
2009/2010,Spain LIGA BBVA,Málaga CF,7,16,15,42,48,37,-6,17,-4.427226608,36.73438436,
2009/2010,Spain LIGA BBVA,RC Deportivo de La Coruña,13,8,17,35,49,47,-14,10,-8.417372,43.368667,
2009/2010,Spain LIGA BBVA,RCD Espanyol,11,11,16,29,46,44,-17,11,2.075667,41.347861,
2009/2010,Spain LIGA BBVA,RCD Mallorca,18,8,12,59,44,62,15,5,2.63,39.59,
2009/2010,Spain LIGA BBVA,Racing Santander,9,12,17,42,59,39,-17,16,-3.846193141,43.46180928,
2009/2010,Spain LIGA BBVA,Real Madrid CF,31,3,4,102,35,96,67,2,-3.68835,40.45306,
2009/2010,Spain LIGA BBVA,Real Sporting de Gijón,9,13,16,36,51,40,-15,15,-5.68056,43.4981,
2009/2010,Spain LIGA BBVA,Real Valladolid,7,15,16,37,62,36,-25,18,-4.761111,41.644444,
2009/2010,Spain LIGA BBVA,Real Zaragoza,10,11,17,46,64,41,-18,14,-0.901822,41.636592,
2009/2010,Spain LIGA BBVA,Sevilla FC,19,6,13,65,49,63,16,4,-5.970467,37.383878,
2009/2010,Spain LIGA BBVA,UD Almería,10,12,16,43,55,42,-12,13,-2.44529,36.862,
2009/2010,Spain LIGA BBVA,Valencia CF,21,8,9,59,40,71,19,3,-0.358333,39.474722,
2009/2010,Spain LIGA BBVA,Villarreal CF,16,8,14,58,57,56,1,7,-0.11501,39.94046,
2009/2010,Spain LIGA BBVA,Xerez Club Deportivo,8,10,20,38,66,34,-28,20,-6.106174941,36.69658205,
2009/2010,Switzerland Super League,AC Bellinzona,7,4,25,42,92,25,-50,9,9.022304,46.198082,
2009/2010,Switzerland Super League,BSC Young Boys,25,2,9,78,47,77,31,2,7.465,46.962778,
2009/2010,Switzerland Super League,FC Aarau,6,5,25,32,88,23,-56,10,8.06,47.383333,
2009/2010,Switzerland Super League,FC Basel,25,5,6,90,46,80,44,1,7.62,47.541389,
2009/2010,Switzerland Super League,FC Luzern,17,7,12,66,55,58,11,4,8.305187,47.033264,
2009/2010,Switzerland Super League,FC Sion,14,9,13,63,57,51,6,5,7.376389,46.233333,
2009/2010,Switzerland Super League,FC St. Gallen,13,7,16,53,56,46,-3,6,9.306389,47.408333,
2009/2010,Switzerland Super League,FC Zürich,12,9,15,55,58,45,-3,7,8.503801,47.382791,
2009/2010,Switzerland Super League,Grasshopper Club Zürich,21,2,13,65,43,65,22,3,8.503801,47.382791,
2009/2010,Switzerland Super League,Neuchâtel Xamax,11,8,17,55,57,41,-2,8,6.944,46.9952,
2010/2011,Belgium Jupiler League,Beerschot AC,5,11,14,24,40,26,-16,13,4.382222,51.185,
2010/2011,Belgium Jupiler League,Club Brugge KV,16,5,9,60,35,53,25,4,3.181311,51.193269,
2010/2011,Belgium Jupiler League,KAA Gent,17,6,7,59,42,57,17,3,3.766111,51.031389,
2010/2011,Belgium Jupiler League,KAS Eupen,5,8,17,28,50,23,-22,15,6.045833,50.626389,
2010/2011,Belgium Jupiler League,KRC Genk,19,7,4,64,27,64,37,2,5.533333,51.005,
2010/2011,Belgium Jupiler League,KSV Cercle Brugge,11,6,13,33,34,39,-1,9,3.179748427,51.1930059,
2010/2011,Belgium Jupiler League,KV Kortrijk,11,5,14,36,39,38,-3,10,3.248889,50.830278,
2010/2011,Belgium Jupiler League,KV Mechelen,13,9,8,34,30,48,4,7,4.486389,51.037222,
2010/2011,Belgium Jupiler League,KVC Westerlo,11,8,11,41,40,41,1,8,4.928333,51.094722,
2010/2011,Belgium Jupiler League,Lierse SK,4,12,14,26,58,24,-32,14,4.573611,51.144167,
2010/2011,Belgium Jupiler League,RSC Anderlecht,19,8,3,58,20,65,38,1,4.298333,50.834167,
2010/2011,Belgium Jupiler League,SV Zulte-Waregem,7,12,11,39,41,33,-2,11,3.428889,50.883056,
2010/2011,Belgium Jupiler League,Sint-Truidense VV,8,5,17,20,51,29,-31,12,5.165278,50.813611,
2010/2011,Belgium Jupiler League,Sporting Charleroi,4,7,19,20,54,19,-34,16,4.452710141,50.41485542,
2010/2011,Belgium Jupiler League,Sporting Lokeren,13,11,6,43,36,50,7,5,3.985900182,51.11556272,
2010/2011,Belgium Jupiler League,Standard de Liège,15,4,11,50,38,49,12,6,5.544487505,50.60999871,
2010/2011,England Premier League,Arsenal,19,11,8,72,43,68,29,4,27.501339,-29.310975,
2010/2011,England Premier League,Aston Villa,12,12,14,48,59,48,-11,9,-1.884722222,52.50916667,
2010/2011,England Premier League,Birmingham City,8,15,15,37,58,39,-21,18,-1.868188888,52.47570278,
2010/2011,England Premier League,Blackburn Rovers,11,10,17,46,59,43,-13,15,-2.489166666,53.72861111,
2010/2011,England Premier League,Blackpool,10,9,19,55,78,39,-23,19,-3.048056,53.804722,
2010/2011,England Premier League,Bolton Wanderers,12,10,16,52,56,46,-4,14,-2.535555555,53.58055556,
2010/2011,England Premier League,Chelsea,21,8,9,69,33,71,36,2,-0.191111111,51.48166667,
2010/2011,England Premier League,Everton,13,15,10,51,45,54,6,7,-2.966388888,53.43888889,
2010/2011,England Premier League,Fulham,11,16,11,49,43,49,6,8,-0.221666666,51.475,
2010/2011,England Premier League,Liverpool,17,7,14,59,44,58,15,6,-2.960833333,53.43083333,
2010/2011,England Premier League,Manchester City,21,8,9,60,33,71,27,3,-2.200277777,53.48305556,
2010/2011,England Premier League,Manchester United,23,11,4,78,37,80,41,1,-2.291388888,53.46305556,
2010/2011,England Premier League,Newcastle United,11,13,14,56,57,46,-1,12,-1.621666666,54.97555556,
2010/2011,England Premier League,Stoke City,13,7,18,46,48,46,-2,13,-2.175555555,52.98833333,
2010/2011,England Premier League,Sunderland,12,11,15,45,56,47,-11,10,-1.3882,54.9144,
2010/2011,England Premier League,Tottenham Hotspur,16,14,8,55,46,62,9,5,-0.066388888,51.60444444,
2010/2011,England Premier League,West Bromwich Albion,12,11,15,56,71,47,-15,11,-1.963888888,52.50916667,
2010/2011,England Premier League,West Ham United,7,12,19,43,70,33,-27,20,-0.016388888,51.53861111,
2010/2011,England Premier League,Wigan Athletic,9,15,14,40,61,42,-21,16,-2.653889,53.547778,
2010/2011,England Premier League,Wolverhampton Wanderers,11,7,20,46,66,40,-20,17,-2.130277777,52.59027778,
2010/2011,France Ligue 1,AC Arles-Avignon,3,11,24,21,70,20,-49,20,4.845,43.928333,
2010/2011,France Ligue 1,AJ Auxerre,10,19,9,45,41,49,4,9,3.588664,47.786753,
2010/2011,France Ligue 1,AS Monaco,9,17,12,36,40,44,-4,18,7.415556,43.727778,
2010/2011,France Ligue 1,AS Nancy-Lorraine,13,9,16,43,48,48,-5,13,6.210687,48.6955,
2010/2011,France Ligue 1,AS Saint-Étienne,12,13,13,46,47,49,-1,10,4.39,45.460833,
2010/2011,France Ligue 1,FC Lorient,12,13,13,46,48,49,-2,11,-3.369733,47.748256,
2010/2011,France Ligue 1,FC Sochaux-Montbéliard,17,7,14,60,43,58,17,5,6.811094,47.512403,
2010/2011,France Ligue 1,Girondins de Bordeaux,12,15,11,43,42,51,1,7,-0.563333,44.896944,
2010/2011,France Ligue 1,LOSC Lille,21,13,4,68,36,76,32,1,3.067614316,50.63678193,
2010/2011,France Ligue 1,Montpellier Hérault SC,12,11,15,32,43,47,-11,14,3.930685964,43.61275576,
2010/2011,France Ligue 1,OGC Nice,11,13,14,33,48,46,-15,17,7.192583333,43.70513889,
2010/2011,France Ligue 1,Olympique Lyonnais,17,13,8,61,40,64,21,3,4.982131,45.765224,
2010/2011,France Ligue 1,Olympique de Marseille,18,14,6,62,39,68,23,2,5.395833333,43.26972222,
2010/2011,France Ligue 1,Paris Saint-Germain,15,15,8,56,41,60,15,4,2.253055555,48.84138889,
2010/2011,France Ligue 1,RC Lens,7,14,17,35,58,35,-23,19,2.814722,50.432778,
2010/2011,France Ligue 1,SM Caen,11,13,14,46,51,46,-5,15,-0.395893731,49.17966417,
2010/2011,France Ligue 1,Stade Brestois 29,11,13,14,36,43,46,-7,16,-4.461694,48.402932,
2010/2011,France Ligue 1,Stade Rennais FC,15,11,12,38,35,56,3,6,-1.712861111,48.10747222,
2010/2011,France Ligue 1,Toulouse FC,14,8,16,38,36,50,2,8,1.434055,43.583296,
2010/2011,France Ligue 1,Valenciennes FC,10,18,10,45,41,48,4,12,3.529336,50.348486,
2010/2011,Germany 1. Bundesliga,1. FC Kaiserslautern,13,7,14,48,51,46,-3,7,7.775833,49.434444,
2010/2011,Germany 1. Bundesliga,1. FC Köln,13,5,16,47,62,44,-15,10,6.875,50.933611,
2010/2011,Germany 1. Bundesliga,1. FC Nürnberg,13,8,13,47,45,47,2,6,11.125278,49.426389,
2010/2011,Germany 1. Bundesliga,1. FSV Mainz 05,18,4,12,52,39,58,13,5,8.322268157,49.96242212,
2010/2011,Germany 1. Bundesliga,Bayer 04 Leverkusen,20,8,6,64,44,68,20,2,7.002205555,51.03825556,
2010/2011,Germany 1. Bundesliga,Borussia Dortmund,23,6,5,67,22,75,45,1,7.451667,51.4925,
2010/2011,Germany 1. Bundesliga,Borussia Mönchengladbach,10,6,18,48,65,36,-17,16,6.385463888,51.17458333,
2010/2011,Germany 1. Bundesliga,Eintracht Frankfurt,9,7,18,31,49,34,-18,17,8.645278,50.068611,
2010/2011,Germany 1. Bundesliga,FC Bayern Munich,19,8,7,81,40,65,41,3,11.574444,48.110833,
2010/2011,Germany 1. Bundesliga,FC Schalke 04,11,7,16,38,44,40,-6,14,7.067588888,51.55450278,
2010/2011,Germany 1. Bundesliga,FC St. Pauli,8,5,21,35,68,29,-33,18,9.967778,53.554444,
2010/2011,Germany 1. Bundesliga,Hamburger SV,12,9,13,46,52,45,-6,8,9.898611,53.586944,
2010/2011,Germany 1. Bundesliga,Hannover 96,19,3,12,49,45,60,4,4,9.731111,52.36,
2010/2011,Germany 1. Bundesliga,SC Freiburg,13,5,16,41,50,44,-9,9,7.893056,47.988889,
2010/2011,Germany 1. Bundesliga,SV Werder Bremen,10,11,13,47,61,41,-14,13,8.8375,53.066389,
2010/2011,Germany 1. Bundesliga,TSG 1899 Hoffenheim,11,10,13,50,50,43,0,11,8.84212,49.2783,
2010/2011,Germany 1. Bundesliga,VfB Stuttgart,12,6,16,60,59,42,1,12,9.231944,48.792222,
2010/2011,Germany 1. Bundesliga,VfL Wolfsburg,9,11,14,43,48,38,-5,15,10.807511,52.434577,
2010/2011,Italy Serie A,Bari,5,9,24,27,56,24,-29,20,16.840072,41.084736,
2010/2011,Italy Serie A,Bologna,11,12,15,35,52,45,-17,15,11.309719,44.49362,
2010/2011,Italy Serie A,Brescia,7,11,20,34,52,32,-18,19,10.236944,45.570556,
2010/2011,Italy Serie A,Cagliari,12,9,17,44,51,45,-7,14,9.137583333,39.19988889,
2010/2011,Italy Serie A,Catania,12,10,16,40,52,46,-12,13,15.071389,37.515833,
2010/2011,Italy Serie A,Cesena,11,10,17,38,50,43,-12,16,12.261944,44.140556,
2010/2011,Italy Serie A,Chievo Verona,11,13,14,38,40,46,-2,11,10.968647,45.435356,
2010/2011,Italy Serie A,Fiorentina,12,15,11,49,44,51,5,9,11.282258,43.780822,
2010/2011,Italy Serie A,Genoa,14,9,15,45,47,51,-2,10,8.952428,44.416431,
2010/2011,Italy Serie A,Inter,23,7,8,69,42,76,27,2,9.124,45.47808,
2010/2011,Italy Serie A,Juventus,15,13,10,57,47,58,10,7,-88.57027778,18.08305556,
2010/2011,Italy Serie A,Lazio,20,6,12,55,39,66,16,5,12.454714,41.933872,
2010/2011,Italy Serie A,Lecce,11,8,19,46,66,41,-20,17,18.208889,40.365278,
2010/2011,Italy Serie A,Milan,24,10,4,65,24,82,41,1,14.30720933,41.08379544,
2010/2011,Italy Serie A,Napoli,21,7,10,59,39,70,20,3,14.26338465,40.88798394,
2010/2011,Italy Serie A,Palermo,17,5,16,58,63,56,-5,8,13.342275,38.152767,
2010/2011,Italy Serie A,Parma,11,13,14,39,47,46,-8,12,10.33844444,44.79491667,
2010/2011,Italy Serie A,Roma,18,9,11,59,52,63,7,6,12.454714,41.933872,
2010/2011,Italy Serie A,Sampdoria,8,12,18,33,49,36,-16,18,8.952428,44.416431,
2010/2011,Italy Serie A,Udinese,20,6,12,65,43,66,22,4,13.200136,46.081603,
2010/2011,Netherlands Eredivisie,ADO Den Haag,16,6,12,63,55,54,8,7,4.383056,52.062778,
2010/2011,Netherlands Eredivisie,AZ,17,8,9,55,44,59,11,4,4.741630263,52.61271589,
2010/2011,Netherlands Eredivisie,Ajax,22,7,5,72,30,73,42,1,4.940442856,52.31420074,
2010/2011,Netherlands Eredivisie,De Graafschap,9,11,14,31,56,38,-25,14,6.309722,51.955833,
2010/2011,Netherlands Eredivisie,Excelsior,10,5,19,45,66,35,-21,16,4.520556,51.916944,
2010/2011,Netherlands Eredivisie,FC Groningen,17,6,11,65,52,57,13,5,6.591388888,53.20611111,
2010/2011,Netherlands Eredivisie,FC Twente,21,8,5,65,34,71,31,2,6.8375,52.23666667,
2010/2011,Netherlands Eredivisie,FC Utrecht,13,8,13,55,51,47,4,9,5.145833333,52.07833333,
2010/2011,Netherlands Eredivisie,Feyenoord,12,8,14,53,54,44,-1,10,4.523252777,51.89389444,
2010/2011,Netherlands Eredivisie,Heracles Almelo,14,7,13,65,56,49,9,8,6.649722,52.338611,
2010/2011,Netherlands Eredivisie,N.E.C.,10,13,11,57,56,43,1,11,5.836667,51.8225,
