season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength
2009/2010,Netherlands Eredivisie,Willem II,23.2,31.0,19.0,182.0,193.0,165.1,170.6,201.0,143.0,81.82,18.18,0.0,Said Boutahar,70.0,73.0,70.0,48.0,62.5,57.5
2009/2010,Poland Ekstraklasa,Arka Gdynia,23.2,30.0,18.0,182.4,190.5,175.3,169.2,185.0,150.0,60.0,40.0,0.0,"Bartosz Lawa,25",64.0,64.0,58.0,58.0,67.0,61.0
2009/2010,Poland Ekstraklasa,Cracovia,24.2,27.0,19.0,183.7,193.0,177.8,166.0,185.0,148.0,100.0,0.0,0.0,Pawel Sasin,64.0,68.0,71.0,42.0,88.0,57.0
2009/2010,Poland Ekstraklasa,GKS Bełchatów,22.8,28.0,20.0,178.6,182.9,170.2,161.7,170.0,150.0,16.67,83.33,0.0,Mateusz Cetnarski,66.0,73.0,64.0,32.0,67.0,39.0
2009/2010,Poland Ekstraklasa,Jagiellonia Białystok,26.0,34.0,21.0,181.3,190.5,167.6,168.0,187.0,143.0,75.0,25.0,0.0,Neves Soares Hermes,63.0,66.0,67.0,62.0,73.0,51.0
2009/2010,Poland Ekstraklasa,Korona Kielce,25.5,31.0,21.0,180.6,190.5,170.2,164.6,194.0,143.0,50.0,50.0,0.0,Hernani,67.0,72.0,62.0,63.0,76.0,73.0
2009/2010,Poland Ekstraklasa,Lech Poznań,24.2,29.0,18.0,179.6,188.0,170.2,163.2,185.0,137.0,61.54,38.46,0.0,Manuel Arboleda,74.0,76.0,81.0,86.0,87.0,90.0
2009/2010,Poland Ekstraklasa,Lechia Gdańsk,26.2,32.0,21.0,179.5,185.4,170.2,167.3,187.0,143.0,83.33,16.67,0.0,Marcin Kaczmarek,65.0,67.0,84.0,59.0,77.0,43.0
2009/2010,Poland Ekstraklasa,Legia Warszawa,24.0,33.0,17.0,181.9,188.0,170.2,166.5,181.0,154.0,87.5,12.5,0.0,Maciej Iwanski,71.0,74.0,63.0,80.0,64.0,41.0
2009/2010,Poland Ekstraklasa,Odra Wodzisław,22.7,24.0,21.0,179.5,185.4,175.3,157.0,174.0,143.0,33.33,66.67,0.0,Filip Luksik,65.0,68.0,68.0,60.0,65.0,67.0
2009/2010,Poland Ekstraklasa,P. Warszawa,25.8,27.0,25.0,180.3,188.0,170.2,165.0,183.0,148.0,50.0,50.0,0.0,Andreu Mayoral,69.0,74.0,72.0,74.0,73.0,67.0
2009/2010,Poland Ekstraklasa,Piast Gliwice,24.8,27.0,21.0,178.8,188.0,170.2,160.4,165.0,154.0,80.0,20.0,0.0,Mariusz Zganiacz,64.0,65.0,62.0,44.0,73.0,48.0
2009/2010,Poland Ekstraklasa,Polonia Bytom,23.8,26.0,21.0,180.3,188.0,170.2,169.0,179.0,159.0,25.0,75.0,0.0,Tomasz Nowak,60.0,60.0,68.0,80.0,91.0,57.0
2009/2010,Poland Ekstraklasa,Ruch Chorzów,23.8,27.0,19.0,184.8,193.0,170.2,177.0,201.0,150.0,50.0,50.0,0.0,Grzegorz Baran,65.0,67.0,57.0,64.0,90.0,74.0
2009/2010,Poland Ekstraklasa,Wisła Kraków,25.4,32.0,20.0,180.3,185.4,170.2,165.4,179.0,152.0,44.44,55.56,0.0,Pawel Brozek,73.0,79.0,69.0,58.0,70.0,62.0
2009/2010,Poland Ekstraklasa,Zagłębie Lubin,22.2,28.0,18.0,179.7,193.0,165.1,167.1,203.0,137.0,100.0,0.0,0.0,David Caiado,65.0,66.0,69.0,60.0,57.0,69.0
2009/2010,Poland Ekstraklasa,Śląsk Wrocław,23.5,27.0,21.0,182.0,188.0,175.3,169.8,185.0,154.0,100.0,0.0,0.0,Kamil Bilinski,67.0,69.0,65.0,71.0,72.0,68.0
2009/2010,Portugal Liga ZON Sagres,Académica de Coimbra,24.9,34.0,20.0,178.5,188.0,165.1,163.2,185.0,143.0,83.33,16.67,0.0,Lica,74.0,81.0,84.0,68.0,76.0,70.0
2009/2010,Portugal Liga ZON Sagres,CD Nacional,23.8,31.0,19.0,179.8,190.5,167.6,167.0,190.0,137.0,80.0,20.0,0.0,Ruben Micael,75.0,85.0,73.5,68.0,75.5,74.5
2009/2010,Portugal Liga ZON Sagres,CF Os Belenenses,24.1,30.0,18.0,180.2,190.5,170.2,166.8,196.0,137.0,78.95,21.05,0.0,Jose Ze Pedro,72.5,77.0,72.0,69.0,67.5,69.0
2009/2010,Portugal Liga ZON Sagres,CS Marítimo,25.8,35.0,19.0,178.6,188.0,170.2,163.1,187.0,137.0,78.26,21.74,0.0,Marcinho,75.0,75.0,79.0,67.0,71.0,73.5
2009/2010,Portugal Liga ZON Sagres,FC Paços de Ferreira,24.7,31.0,18.0,180.2,190.5,172.7,165.2,187.0,146.0,72.22,27.78,0.0,Cristiano,73.0,77.5,81.0,68.0,76.5,59.0
2009/2010,Portugal Liga ZON Sagres,FC Porto,24.2,29.0,22.0,181.1,193.0,172.7,172.8,187.0,154.0,78.95,15.79,5.26,Hulk,83.0,88.0,87.0,67.0,82.5,85.5
2009/2010,Portugal Liga ZON Sagres,Leixões SC,25.0,34.0,19.0,180.9,193.0,167.6,168.9,198.0,141.0,82.61,17.39,0.0,Braga,72.0,75.5,74.5,68.0,75.0,68.5
2009/2010,Portugal Liga ZON Sagres,Naval 1° de Maio,24.4,28.0,19.0,180.9,193.0,165.1,165.4,187.0,137.0,52.94,23.53,23.53,Marinho,71.5,74.0,82.0,60.0,67.0,59.0
2009/2010,Portugal Liga ZON Sagres,Rio Ave FC,25.4,34.0,17.0,182.1,190.5,172.7,172.9,190.0,152.0,73.68,26.32,0.0,Bruno Vilela Gama,74.0,80.5,80.0,57.0,73.0,65.5
2009/2010,Portugal Liga ZON Sagres,S.C. Olhanense,24.8,33.0,19.0,180.2,188.0,165.1,163.4,190.0,141.0,85.0,15.0,0.0,Ukra,70.5,79.5,79.5,70.0,72.5,64.0
2009/2010,Portugal Liga ZON Sagres,SC Braga,26.4,31.0,23.0,180.5,188.0,170.2,165.8,194.0,146.0,63.64,36.36,0.0,Alan,76.0,77.0,85.0,67.0,78.0,76.0
2009/2010,Portugal Liga ZON Sagres,SL Benfica,24.2,32.0,19.0,179.7,193.0,167.6,167.3,203.0,137.0,76.19,23.81,0.0,Pablo Aimar,82.0,88.0,81.5,64.0,74.0,60.5
2009/2010,Portugal Liga ZON Sagres,Sporting CP,25.0,31.0,20.0,178.4,185.4,170.2,163.8,185.0,134.0,79.17,16.67,4.17,Liedson,81.5,82.5,81.5,77.0,78.0,62.5
2009/2010,Portugal Liga ZON Sagres,"União de Leiria, SAD",25.8,32.0,18.0,179.5,188.0,170.2,168.0,190.0,143.0,68.75,31.25,0.0,Manuel Silas,72.0,74.0,74.0,72.0,76.0,71.0
2009/2010,Portugal Liga ZON Sagres,Vitória Guimarães,26.9,32.0,23.0,179.9,190.5,167.6,166.5,194.0,132.0,76.47,23.53,0.0,Nuno Assis,77.0,77.0,75.0,63.0,75.0,61.5
2009/2010,Portugal Liga ZON Sagres,Vitória Setúbal,23.8,33.0,18.0,183.2,193.0,172.7,168.8,190.0,143.0,76.19,23.81,0.0,Helder Barbosa,72.5,80.5,76.5,64.0,74.5,62.5
2009/2010,Scotland Premier League,Aberdeen,23.9,29.0,18.0,180.5,190.5,170.2,163.2,183.0,141.0,66.67,33.33,0.0,Charles Mulgrew,73.5,76.0,75.5,76.0,72.0,82.0
2009/2010,Scotland Premier League,Celtic,24.6,30.0,18.0,181.0,193.0,170.2,166.8,192.0,143.0,70.97,25.81,3.23,Robbie Keane,82.0,84.0,81.0,65.0,73.0,67.0
2009/2010,Scotland Premier League,Dundee United,23.3,34.0,19.0,183.0,193.0,167.6,166.9,194.0,130.0,77.27,22.73,0.0,Lee Wilkie,73.0,79.0,42.0,,76.0,88.0
2009/2010,Scotland Premier League,Falkirk,23.9,35.0,19.0,179.6,195.6,170.2,162.5,218.0,132.0,72.73,27.27,0.0,Scott Arfield,68.0,78.0,70.5,72.0,73.0,68.0
2009/2010,Scotland Premier League,Hamilton Academical FC,24.9,33.0,17.0,180.1,188.0,172.7,162.3,187.0,141.0,76.19,23.81,0.0,James McArthur,70.5,76.5,71.0,50.0,72.0,70.0
2009/2010,Scotland Premier League,Heart of Midlothian,22.3,28.0,17.0,181.3,190.5,167.6,167.9,209.0,137.0,69.23,30.77,0.0,Andrew Driver,77.5,86.0,89.5,54.0,70.0,59.0
2009/2010,Scotland Premier League,Hibernian,24.1,28.0,17.0,180.3,190.5,170.2,159.6,190.0,137.0,63.16,26.32,10.53,Derek Riordan,76.0,65.0,77.5,51.0,65.5,56.5
2009/2010,Scotland Premier League,Kilmarnock,25.4,33.0,18.0,179.9,190.5,170.2,165.4,194.0,132.0,76.19,23.81,0.0,Scott Severin,71.0,76.0,62.0,72.0,79.0,73.0
2009/2010,Scotland Premier League,Motherwell,22.2,32.0,17.0,180.2,188.0,172.7,164.2,196.0,141.0,52.63,36.84,10.53,Mark Reynolds,71.0,77.0,72.0,81.0,74.0,77.0
2009/2010,Scotland Premier League,Rangers,25.6,39.0,17.0,181.9,193.0,170.2,170.1,196.0,150.0,66.67,33.33,0.0,Kris Boyd,80.0,83.0,67.5,85.0,71.0,82.5
2009/2010,Scotland Premier League,St. Johnstone FC,25.9,33.0,17.0,181.2,193.0,165.1,166.8,190.0,141.0,80.95,19.05,0.0,Jonatan Johansson,67.0,72.0,74.0,57.0,73.0,63.0
2009/2010,Scotland Premier League,St. Mirren,27.1,33.0,20.0,180.2,188.0,167.6,161.8,185.0,130.0,76.47,17.65,0.0,John Potter,73.0,76.0,72.0,87.0,78.5,82.5
2009/2010,Spain LIGA BBVA,Athletic Club de Bilbao,24.4,32.0,16.0,182.8,195.6,167.6,166.3,198.0,139.0,76.19,23.81,0.0,Fernando Llorente,80.0,85.0,73.0,86.0,74.0,93.0
2009/2010,Spain LIGA BBVA,Atlético Madrid,25.0,32.0,17.0,180.1,193.0,172.7,168.0,190.0,150.0,80.0,20.0,0.0,Diego Forlan,85.5,87.0,81.0,80.0,79.0,75.0
2009/2010,Spain LIGA BBVA,CA Osasuna,26.7,33.0,19.0,181.8,190.5,170.2,167.5,185.0,154.0,83.33,16.67,0.0,Javad Nekounam,77.5,83.0,73.5,77.0,86.5,80.5
2009/2010,Spain LIGA BBVA,CD Tenerife,25.6,32.0,21.0,178.7,188.0,170.2,164.9,183.0,143.0,76.47,17.65,5.88,Nino,76.5,80.5,82.5,68.0,84.0,63.0
2009/2010,Spain LIGA BBVA,FC Barcelona,25.3,31.0,18.0,179.0,195.6,167.6,165.5,209.0,137.0,63.16,36.84,0.0,Lionel Messi,90.0,94.5,93.0,64.0,78.0,59.0
2009/2010,Spain LIGA BBVA,Getafe CF,25.8,33.0,20.0,181.1,185.4,175.3,167.1,187.0,150.0,76.47,23.53,0.0,Cata Diaz,80.0,86.0,68.0,76.0,80.0,87.0
2009/2010,Spain LIGA BBVA,Málaga CF,25.5,31.0,19.0,180.1,190.5,170.2,169.5,185.0,148.0,73.68,26.32,0.0,Duda,79.0,80.0,79.0,59.0,77.0,67.0
2009/2010,Spain LIGA BBVA,RC Deportivo de La Coruña,25.7,34.0,19.0,180.0,188.0,165.1,168.3,196.0,143.0,79.17,20.83,0.0,Filipe Luis,81.5,87.0,87.0,76.0,85.0,80.0
2009/2010,Spain LIGA BBVA,RCD Espanyol,23.7,31.0,17.0,180.1,185.4,175.3,166.1,187.0,148.0,78.95,21.05,0.0,Shunsuke Nakamura,79.0,84.0,78.5,,79.0,55.0
2009/2010,Spain LIGA BBVA,RCD Mallorca,26.7,34.0,20.0,180.5,188.0,170.2,167.4,181.0,150.0,76.47,23.53,0.0,Aritz Aduriz,78.0,81.0,80.0,89.0,80.0,71.0
2009/2010,Spain LIGA BBVA,Racing Santander,25.3,34.0,18.0,180.5,193.0,167.6,164.2,192.0,143.0,66.67,33.33,0.0,Pedro Munitis,79.5,86.0,83.0,66.0,71.0,68.0
2009/2010,Spain LIGA BBVA,Real Madrid CF,24.5,32.0,21.0,182.6,193.0,167.6,173.7,203.0,154.0,76.47,23.53,0.0,Cristiano Ronaldo,89.0,93.5,93.0,91.0,82.0,79.0
2009/2010,Spain LIGA BBVA,Real Sporting de Gijón,25.9,33.0,19.0,180.1,188.0,167.6,165.9,187.0,146.0,80.95,19.05,0.0,David Barral,76.0,79.0,82.0,72.0,73.0,66.0
2009/2010,Spain LIGA BBVA,Real Valladolid,25.0,35.0,17.0,180.1,188.0,167.6,163.5,187.0,141.0,62.5,33.33,4.17,Alvaro Rubio,76.0,79.0,69.0,60.0,73.0,71.0
2009/2010,Spain LIGA BBVA,Real Zaragoza,26.6,36.0,19.0,181.8,195.6,172.7,166.1,196.0,148.0,80.0,20.0,0.0,Angel Lafita,77.5,81.0,79.0,58.0,74.5,64.0
2009/2010,Spain LIGA BBVA,Sevilla FC,25.4,33.0,19.0,181.6,193.0,170.2,166.3,194.0,132.0,65.22,34.78,0.0,Luis Fabiano,85.0,86.0,85.0,80.0,72.0,77.0
2009/2010,Spain LIGA BBVA,UD Almería,25.3,31.0,20.0,178.7,188.0,162.6,163.5,190.0,139.0,76.47,23.53,0.0,Kalu Uche,77.0,80.0,77.0,94.0,76.0,82.0
2009/2010,Spain LIGA BBVA,Valencia CF,25.9,33.0,20.0,180.0,203.2,170.2,166.6,212.0,139.0,77.27,22.73,0.0,David Villa,87.5,91.5,86.0,71.0,85.0,74.0
2009/2010,Spain LIGA BBVA,Villarreal CF,26.2,35.0,18.0,179.7,188.0,165.1,163.4,185.0,143.0,71.43,28.57,0.0,Giuseppe Rossi,83.0,86.0,86.0,60.0,74.0,59.0
2009/2010,Spain LIGA BBVA,Xerez Club Deportivo,25.6,34.0,21.0,178.5,193.0,165.1,163.9,192.0,150.0,77.78,22.22,0.0,Momo,74.0,78.0,78.5,61.0,70.0,58.0
2009/2010,Switzerland Super League,AC Bellinzona,26.3,35.0,20.0,179.6,190.5,170.2,163.0,194.0,146.0,66.67,16.67,16.67,Aimo Stefano Diana,66.5,77.5,69.5,66.0,72.5,69.0
2009/2010,Switzerland Super League,BSC Young Boys,23.7,33.0,18.0,180.5,190.5,170.2,166.4,198.0,139.0,63.64,36.36,0.0,Seydou Doumbia,76.5,82.0,87.0,61.0,79.0,60.0
2009/2010,Switzerland Super League,FC Aarau,23.5,29.0,17.0,181.2,190.5,172.7,164.7,187.0,150.0,61.9,28.57,9.52,Sergio Bastida,64.5,66.5,68.5,,55.5,69.5
2009/2010,Switzerland Super League,FC Basel,24.7,33.0,17.0,182.3,195.6,170.2,172.2,198.0,148.0,66.67,33.33,0.0,Alexander Frei,77.0,82.0,70.0,72.0,66.0,71.0
2009/2010,Switzerland Super League,FC Luzern,24.7,32.0,18.0,179.3,188.0,172.7,166.1,190.0,139.0,84.21,15.79,0.0,Hakan Yakin,72.5,78.5,67.5,65.0,60.5,69.5
2009/2010,Switzerland Super League,FC Sion,25.2,33.0,18.0,182.4,193.0,170.2,165.6,192.0,143.0,70.83,29.17,0.0,Antonio Carlos Dos Santos,70.5,79.5,65.5,,67.5,69.5
2009/2010,Switzerland Super League,FC St. Gallen,24.7,35.0,18.0,179.8,195.6,172.7,168.7,194.0,146.0,78.95,21.05,0.0,Mario Frick,70.0,74.0,71.5,69.0,63.5,79.5
2009/2010,Switzerland Super League,FC Zürich,23.8,32.0,16.0,182.8,193.0,175.3,170.4,201.0,154.0,75.0,25.0,0.0,Hannu Tihinen,75.0,80.0,59.5,,81.0,80.5
2009/2010,Switzerland Super League,Grasshopper Club Zürich,23.4,34.0,17.0,181.1,190.5,167.6,169.0,198.0,137.0,69.57,30.43,0.0,Boris Smiljanic,70.5,74.5,59.5,74.0,60.5,66.5
2009/2010,Switzerland Super League,Neuchâtel Xamax,23.3,31.0,17.0,180.5,188.0,175.3,166.4,187.0,150.0,63.64,36.36,0.0,Carlos Varela,69.0,73.0,82.0,,75.0,77.0
2010/2011,Belgium Jupiler League,Beerschot AC,25.2,37.0,16.0,181.7,190.5,172.7,172.4,201.0,154.0,69.57,26.09,4.35,Faris Haroun,69.5,72.0,71.0,65.0,81.5,67.0
2010/2011,Belgium Jupiler League,Club Brugge KV,25.2,33.0,18.0,182.7,193.0,172.7,173.6,201.0,146.0,77.78,22.22,0.0,Ronald Vargas,72.5,78.0,77.0,68.0,58.0,58.0
2010/2011,Belgium Jupiler League,KAA Gent,25.1,32.0,19.0,183.9,193.0,175.3,172.5,196.0,132.0,62.5,25.0,12.5,Marko Suler,72.0,73.0,72.0,67.0,72.0,73.0
2010/2011,Belgium Jupiler League,KAS Eupen,24.2,35.0,18.0,180.9,188.0,170.2,167.7,192.0,137.0,72.73,27.27,0.0,Marcus Diniz,67.5,75.0,70.0,74.0,68.5,79.0
2010/2011,Belgium Jupiler League,KRC Genk,23.4,29.0,19.0,182.7,188.0,175.3,169.6,192.0,150.0,75.0,25.0,0.0,Joao Carlos,72.5,77.0,69.0,69.0,68.0,79.5
2010/2011,Belgium Jupiler League,KSV Cercle Brugge,25.5,33.0,18.0,183.0,193.0,167.6,168.8,192.0,143.0,70.0,30.0,0.0,Oleg Iachtchouk,70.0,76.0,65.0,60.0,66.0,53.0
2010/2011,Belgium Jupiler League,KV Kortrijk,25.2,32.0,20.0,183.3,193.0,175.3,171.6,194.0,150.0,63.16,31.58,5.26,Sven Kums,67.5,72.0,67.0,61.0,74.5,55.0
2010/2011,Belgium Jupiler League,KV Mechelen,24.2,30.0,19.0,182.8,193.0,172.7,169.6,196.0,146.0,65.0,35.0,0.0,Aloys Nong,67.5,72.0,80.0,80.0,74.0,68.0
2010/2011,Belgium Jupiler League,KVC Westerlo,24.0,34.0,19.0,180.3,193.0,167.6,163.0,185.0,139.0,68.18,31.82,0.0,Oleksandr Iakovenko,69.0,72.0,75.5,65.0,69.0,54.0
2010/2011,Belgium Jupiler League,Lierse SK,27.6,36.0,20.0,181.4,198.1,170.2,171.4,214.0,143.0,77.78,22.22,0.0,Milos Maric,72.0,73.5,73.0,67.5,83.0,77.5
2010/2011,Belgium Jupiler League,RSC Anderlecht,23.1,30.0,17.0,184.4,193.0,167.6,172.4,207.0,134.0,75.0,25.0,0.0,Mbark Boussoufa,79.0,82.0,75.0,65.0,76.0,37.0
2010/2011,Belgium Jupiler League,SV Zulte-Waregem,24.6,32.0,19.0,180.6,193.0,167.6,167.0,190.0,148.0,85.0,15.0,0.0,Kevin Roelandts,69.0,71.0,61.0,60.0,58.0,73.0
2010/2011,Belgium Jupiler League,Sint-Truidense VV,24.6,33.0,18.0,179.7,190.5,167.6,161.7,194.0,132.0,78.95,21.05,0.0,Mannaseh Ishiaku,68.5,73.5,75.5,77.5,66.0,81.5
2010/2011,Belgium Jupiler League,Sporting Charleroi,23.9,30.0,18.0,181.3,193.0,167.6,166.9,196.0,132.0,67.86,28.57,3.57,Hernan Losada,69.0,72.0,67.0,68.0,67.0,48.0
2010/2011,Belgium Jupiler League,Sporting Lokeren,25.2,32.0,17.0,180.5,190.5,167.6,166.1,187.0,137.0,63.16,36.84,0.0,Ivan Leko,69.0,72.0,53.0,53.0,64.0,62.0
2010/2011,Belgium Jupiler League,Standard de Liège,22.0,29.0,17.0,182.4,190.5,172.7,166.3,198.0,143.0,73.91,26.09,0.0,Steven Defour,77.5,83.0,68.0,68.5,84.5,65.0
2010/2011,England Premier League,Arsenal,23.9,29.0,18.0,180.9,193.0,172.7,162.1,196.0,143.0,76.19,23.81,0.0,Cesc Fabregas,86.0,90.5,75.0,65.0,84.0,72.0
2010/2011,England Premier League,Aston Villa,25.1,36.0,19.0,180.2,193.0,170.2,166.6,209.0,132.0,78.57,17.86,3.57,Ashley Young,82.5,86.5,91.0,47.0,72.0,48.0
2010/2011,England Premier League,Birmingham City,27.0,36.0,18.0,181.9,203.2,170.2,171.1,212.0,150.0,82.61,17.39,0.0,Obafemi Martins,79.0,85.0,88.5,78.5,68.5,72.0
2010/2011,England Premier League,Blackburn Rovers,26.3,34.0,18.0,184.2,195.6,172.7,176.8,220.0,154.0,75.0,25.0,0.0,Roque Santa Cruz,79.5,83.0,76.0,87.5,66.0,82.0
2010/2011,England Premier League,Blackpool,26.3,33.0,19.0,180.6,190.5,167.6,166.5,198.0,134.0,66.67,33.33,0.0,Charlie Adam,76.0,79.0,69.5,75.5,76.0,74.0
2010/2011,England Premier League,Bolton Wanderers,25.5,33.0,19.0,184.4,195.6,175.3,170.9,198.0,152.0,66.67,33.33,0.0,Gary Cahill,78.5,85.0,75.0,78.0,75.0,79.0
2010/2011,England Premier League,Chelsea,26.2,32.0,17.0,182.5,188.0,172.7,171.1,201.0,141.0,75.0,25.0,0.0,Didier Drogba,87.0,90.0,83.5,90.5,71.0,89.5
2010/2011,England Premier League,Everton,26.3,33.0,19.0,181.0,193.0,170.2,165.5,194.0,141.0,73.68,26.32,0.0,Mikel Arteta,82.0,84.0,77.0,70.0,76.0,75.0
2010/2011,England Premier League,Fulham,27.8,33.0,19.0,181.6,195.6,170.2,171.5,203.0,141.0,70.83,29.17,0.0,Brede Hangeland,82.5,85.5,72.0,89.0,79.0,88.0
2010/2011,England Premier League,Liverpool,25.1,32.0,16.0,182.9,193.0,167.6,169.9,194.0,148.0,73.08,26.92,0.0,Steven Gerrard,86.0,90.0,81.0,68.0,86.0,82.0
2010/2011,England Premier League,Manchester City,25.0,34.0,19.0,182.9,193.0,165.1,174.0,198.0,139.0,63.64,36.36,0.0,Carlos Tevez,86.0,89.5,83.0,72.0,90.0,83.5
2010/2011,England Premier League,Manchester United,26.6,36.0,18.0,181.6,193.0,170.2,169.1,198.0,143.0,91.67,8.33,0.0,Wayne Rooney,87.5,91.0,85.0,79.0,86.0,90.0
2010/2011,England Premier League,Newcastle United,25.1,35.0,18.0,182.2,193.0,170.2,179.0,209.0,146.0,77.27,22.73,0.0,Jonas Gutierrez,78.0,79.0,83.0,61.0,79.0,71.5
2010/2011,England Premier League,Stoke City,27.7,33.0,22.0,184.5,193.0,172.7,172.4,218.0,141.0,78.95,21.05,0.0,John Carew,79.5,85.0,80.0,88.5,66.0,87.0
2010/2011,England Premier League,Sunderland,24.8,33.0,19.0,179.8,193.0,167.6,168.2,198.0,148.0,81.82,13.64,4.55,Darren Bent,82.0,84.0,88.0,78.0,66.0,77.0
2010/2011,England Premier League,Tottenham Hotspur,25.4,32.0,19.0,181.8,200.7,165.1,165.5,192.0,139.0,79.17,20.83,0.0,Rafael van der Vaart,84.5,89.0,72.5,58.0,68.5,66.5
2010/2011,England Premier League,West Bromwich Albion,26.0,30.0,21.0,183.4,193.0,175.3,172.5,194.0,141.0,76.19,23.81,0.0,Paul Scharner,77.0,78.0,71.0,85.0,81.0,84.0
2010/2011,England Premier League,West Ham United,25.9,32.0,20.0,182.0,193.0,170.2,169.3,194.0,134.0,80.0,20.0,0.0,Demba Ba,79.0,83.0,83.0,81.0,69.0,85.0
2010/2011,England Premier League,Wigan Athletic,24.4,30.0,19.0,181.7,193.0,170.2,167.6,194.0,141.0,80.95,19.05,0.0,Charles N'Zogbia,77.0,82.0,85.0,59.0,71.0,72.5
2010/2011,England Premier League,Wolverhampton Wanderers,24.8,34.0,22.0,182.2,190.5,170.2,178.7,212.0,157.0,60.87,39.13,0.0,Kevin Doyle,76.5,82.0,76.0,79.0,79.0,73.0
2010/2011,France Ligue 1,AC Arles-Avignon,27.0,34.0,20.0,180.8,190.5,170.2,168.6,205.0,150.0,80.77,19.23,0.0,Camel Meriem,72.5,83.0,74.0,65.0,67.0,55.0
2010/2011,France Ligue 1,AJ Auxerre,25.5,31.0,19.0,179.7,190.5,162.6,165.9,185.0,143.0,66.67,33.33,0.0,Ireneusz Jelen,80.5,85.0,87.0,75.0,67.0,73.0
2010/2011,France Ligue 1,AS Monaco,24.5,33.0,17.0,179.8,190.5,165.1,165.5,201.0,128.0,74.07,25.93,0.0,Dieumerci Mbokani,77.0,83.5,78.0,76.0,73.0,84.5
2010/2011,France Ligue 1,AS Nancy-Lorraine,24.9,30.0,17.0,180.8,190.5,170.2,167.0,205.0,150.0,76.19,23.81,0.0,Youssouf Hadji,77.0,82.0,84.0,78.0,76.0,78.0
2010/2011,France Ligue 1,AS Saint-Étienne,25.2,34.0,19.0,182.0,190.5,170.2,174.0,212.0,150.0,75.0,20.0,5.0,Dimitri Payet,76.5,86.0,81.0,56.0,72.0,60.5
2010/2011,France Ligue 1,FC Lorient,24.4,32.0,17.0,178.3,188.0,170.2,159.7,183.0,132.0,73.68,26.32,0.0,Kevin Gameiro,78.0,84.0,81.0,66.0,76.0,73.0
2010/2011,France Ligue 1,FC Sochaux-Montbéliard,23.6,30.0,19.0,180.9,188.0,170.2,167.5,190.0,134.0,72.22,27.78,0.0,Marvin Martin,73.5,85.0,70.0,42.0,75.5,65.0
2010/2011,France Ligue 1,Girondins de Bordeaux,24.0,29.0,19.0,183.3,195.6,170.2,172.1,194.0,143.0,86.36,13.64,0.0,Yoann Gourcuff,82.0,87.0,78.0,71.0,88.0,74.0
2010/2011,France Ligue 1,LOSC Lille,24.6,30.0,19.0,179.8,193.0,167.6,169.4,198.0,146.0,84.21,15.79,0.0,Eden Hazard,81.5,89.0,85.5,67.0,76.0,62.0
2010/2011,France Ligue 1,Montpellier Hérault SC,25.8,35.0,19.0,180.3,193.0,170.2,165.9,194.0,143.0,65.0,35.0,0.0,Emir Spahic,77.0,81.0,78.0,85.0,75.0,77.0
2010/2011,France Ligue 1,OGC Nice,25.8,33.0,21.0,181.3,193.0,170.2,167.1,196.0,143.0,60.87,39.13,0.0,Loic Remy,78.0,87.0,83.0,78.0,76.0,72.0
2010/2011,France Ligue 1,Olympique Lyonnais,24.1,33.0,18.0,181.3,188.0,172.7,166.5,185.0,143.0,80.95,19.05,0.0,Lisandro Lopez,83.5,86.0,85.5,80.0,86.5,83.0
2010/2011,France Ligue 1,Olympique de Marseille,26.4,32.0,18.0,182.2,188.0,167.6,170.6,194.0,128.0,70.0,30.0,0.0,Lucho Gonzalez,81.5,85.0,75.0,72.0,81.0,77.0
2010/2011,France Ligue 1,Paris Saint-Germain,26.5,37.0,17.0,179.7,193.0,165.1,167.9,198.0,137.0,70.59,29.41,0.0,Mathieu Bodmer,78.5,83.0,74.0,82.5,86.0,81.5
2010/2011,France Ligue 1,RC Lens,24.6,32.0,17.0,181.8,190.5,172.7,167.2,185.0,150.0,68.0,32.0,0.0,Sebastien Roudet,73.0,76.0,77.0,60.0,66.0,64.0
2010/2011,France Ligue 1,SM Caen,24.9,33.0,19.0,180.7,190.5,175.3,168.3,190.0,150.0,71.43,14.29,14.29,Benjamin Nivet,75.0,81.5,72.0,56.0,70.0,56.0
2010/2011,France Ligue 1,Stade Brestois 29,25.2,33.0,19.0,178.9,188.0,167.6,166.0,187.0,143.0,85.0,10.0,5.0,Nolan Roux,73.0,82.0,75.0,66.0,72.0,68.0
2010/2011,France Ligue 1,Stade Rennais FC,23.3,35.0,18.0,182.0,193.0,172.7,166.4,198.0,146.0,83.33,16.67,0.0,Rod Fanni,79.0,85.5,89.0,77.0,73.0,83.0
2010/2011,France Ligue 1,Toulouse FC,23.4,29.0,18.0,181.3,188.0,167.6,167.7,187.0,141.0,78.95,21.05,0.0,Andre-Pierre Gignac,79.5,85.5,80.0,76.5,75.5,78.0
2010/2011,France Ligue 1,Valenciennes FC,25.2,34.0,18.0,181.3,190.5,170.2,165.9,205.0,139.0,72.73,27.27,0.0,Milan Bisevac,75.0,80.0,63.0,72.0,75.0,82.0
